Date,ticker,mention_count,days_to_add
2021-01-28,AMC,214,0
2021-01-28,BB,123,0
2021-01-28,CLF,0,0
2021-01-28,CLNE,0,0
2021-01-28,CLOV,1,0
2021-01-28,FORD,7,0
2021-01-28,GME,419,0
2021-01-28,PLTR,7,0
2021-01-28,RKT,0,0
2021-01-28,SENS,11,0
2021-01-28,WKHS,0,0
2021-01-28,WWE,1,0
2021-01-29,AMC,2276,0
2021-01-29,BB,1488,0
2021-01-29,CLF,0,0
2021-01-29,CLNE,0,0
2021-01-29,CLOV,0,0
2021-01-29,FORD,97,0
2021-01-29,GME,4677,0
2021-01-29,PLTR,41,0
2021-01-29,RKT,4,0
2021-01-29,SENS,87,0
2021-01-29,WKHS,0,0
2021-01-29,WWE,3,0
2021-02-01,AMC,338,3
2021-02-01,BB,275,3
2021-02-01,CLF,1,3
2021-02-01,CLNE,0,3
2021-02-01,CLOV,0,3
2021-02-01,FORD,78,3
2021-02-01,GME,1280,3
2021-02-01,PLTR,23,3
2021-02-01,RKT,2,3
2021-02-01,SENS,66,3
2021-02-01,WKHS,1,3
2021-02-01,WWE,2,3
2021-02-02,AMC,125,0
2021-02-02,BB,85,0
2021-02-02,CLF,0,0
2021-02-02,CLNE,0,0
2021-02-02,CLOV,0,0
2021-02-02,FORD,29,0
2021-02-02,GME,450,0
2021-02-02,PLTR,6,0
2021-02-02,RKT,1,0
2021-02-02,SENS,25,0
2021-02-02,WKHS,0,0
2021-02-02,WWE,0,0
2021-02-03,AMC,244,0
2021-02-03,BB,110,0
2021-02-03,CLF,1,0
2021-02-03,CLNE,0,0
2021-02-03,CLOV,2,0
2021-02-03,FORD,71,0
2021-02-03,GME,738,0
2021-02-03,PLTR,13,0
2021-02-03,RKT,1,0
2021-02-03,SENS,46,0
2021-02-03,WKHS,0,0
2021-02-03,WWE,0,0
2021-02-04,AMC,203,0
2021-02-04,BB,85,0
2021-02-04,CLF,0,0
2021-02-04,CLNE,0,0
2021-02-04,CLOV,4,0
2021-02-04,FORD,32,0
2021-02-04,GME,544,0
2021-02-04,PLTR,1,0
2021-02-04,RKT,2,0
2021-02-04,SENS,24,0
2021-02-04,WKHS,0,0
2021-02-04,WWE,1,0
2021-02-05,AMC,317,0
2021-02-05,BB,109,0
2021-02-05,CLF,1,0
