Date,Mentions,Percent Change
4-Jan,,0
5-Jan,,-0.015037863
6-Jan,,0.015037863
7-Jan,,0.019705053
8-Jan,,0.042966108
11-Jan,,0.027651504
12-Jan,,0.040094419
13-Jan,,-0.049226893
14-Jan,,0
15-Jan,,0.066543327
19-Jan,,0.272546662
20-Jan,,-0.029852935
21-Jan,,0.003361344
22-Jan,,0.163692728
25-Jan,,0.230523679
26-Jan,,0.115266035
27-Jan,,1.389313964
28-Jan,214,-0.835475194
29-Jan,2276,0.429507484
1-Feb,338,0.003012048
2-Feb,125,-0.531079473
3-Feb,244,0.137201129
4-Feb,203,-0.235200344
5-Feb,317,-0.0373607
8-Feb,380,-0.100006419
9-Feb,16,-0.116570151
10-Feb,24,0.053109858
11-Feb,12,-0.033307207
12-Feb,10,-0.003571429
15-Feb,15,
16-Feb,10,0.010676248
17-Feb,8,-0.0178576
18-Feb,11,-0.007233297
19-Feb,11,0.033901477
22-Feb,28,0.138998937
23-Feb,20,0.161755225
24-Feb,12,0.165954621
25-Feb,29,-0.09212496
26-Feb,35,-0.034359175
1-Mar,42,0.136336448
2-Mar,25,-0.027610809
3-Mar,23,-0.039982524
4-Mar,26,-0.06624941
5-Mar,25,0.00248762
8-Mar,38,0.143266434
9-Mar,10,0.122436708
10-Mar,31,-0.063903763
11-Mar,52,0.04272874
12-Mar,16,0.082135709
15-Mar,24,0.229574453
16-Mar,36,-0.075423724
17-Mar,20,0.040637642
18-Mar,13,0.031933016
19-Mar,6,-0.00501252
22-Mar,14,-0.109116504
23-Mar,8,-0.158429901
24-Mar,8,-0.16705402
25-Mar,15,0.192981374
26-Mar,12,-0.066124161
29-Mar,12,0.010684959
30-Mar,3,0
31-Mar,3,-0.013618921
1-Apr,2,-0.086922382
5-Apr,6,0.125351666
6-Apr,4,-0.039409219
7-Apr,1,-0.034916208
8-Apr,1,-0.006110041
9-Apr,1,-0.038526356
12-Apr,5,-0.088750025
13-Apr,7,0.025201823
14-Apr,4,0.05608949
15-Apr,4,0.057158335
16-Apr,4,-0.059299712
19-Apr,6,0.034758626
20-Apr,1,-0.040132114
21-Apr,2,0.052477939
22-Apr,2,0.021245113
23-Apr,2,0.016873857
26-Apr,4,0.123888608
27-Apr,3,-0.003484321
28-Apr,5,-0.054697599
29-Apr,4,-0.061777414
30-Apr,1,-0.016807126
3-May,,-0.032424289
4-May,,-0.033510956
5-May,2,-0.023708035
6-May,4,-0.018712717
7-May,11,0.055119323
10-May,7,0.023897194
11-May,1,0.031331559
12-May,4,0.026511077
13-May,2,0.213014975
14-May,11,0.01631097
17-May,8,0.072069819
18-May,5,0.00571838
19-May,5,-0.104331459
20-May,4,-0.007145735
21-May,2,-0.038169495
24-May,6,0.124383748
25-May,2,0.181955961
26-May,10,0.175595741
27-May,15,0.304412545
28-May,38,-0.015197846
31-May,24,
1-Jun,8,
