Date,ticker,mention_count
2021-01-28,AMC,214
2021-01-28,BB,123
2021-01-28,CLF,0
2021-01-28,CLNE,0
2021-01-28,CLOV,1
2021-01-28,FORD,7
2021-01-28,GME,419
2021-01-28,PLTR,7
2021-01-28,RKT,0
2021-01-28,SENS,11
2021-01-28,WKHS,0
2021-01-28,WWE,1
2021-01-29,AMC,2276
2021-01-29,BB,1488
2021-01-29,CLF,0
2021-01-29,CLNE,0
2021-01-29,CLOV,0
2021-01-29,FORD,97
2021-01-29,GME,4677
2021-01-29,PLTR,41
2021-01-29,RKT,4
2021-01-29,SENS,87
2021-01-29,WKHS,0
2021-01-29,WWE,3
2021-02-01,AMC,338
2021-02-01,BB,275
2021-02-01,CLF,1
2021-02-01,CLNE,0
2021-02-01,CLOV,0
2021-02-01,FORD,78
2021-02-01,GME,1280
2021-02-01,PLTR,23
2021-02-01,RKT,2
2021-02-01,SENS,66
2021-02-01,WKHS,1
2021-02-01,WWE,2
2021-02-02,AMC,125
2021-02-02,BB,85
2021-02-02,CLF,0
2021-02-02,CLNE,0
2021-02-02,CLOV,0
2021-02-02,FORD,29
2021-02-02,GME,450
2021-02-02,PLTR,6
2021-02-02,RKT,1
2021-02-02,SENS,25
2021-02-02,WKHS,0
2021-02-02,WWE,0
2021-02-03,AMC,244
2021-02-03,BB,110
2021-02-03,CLF,1
2021-02-03,CLNE,0
2021-02-03,CLOV,2
2021-02-03,FORD,71
2021-02-03,GME,738
2021-02-03,PLTR,13
2021-02-03,RKT,1
2021-02-03,SENS,46
2021-02-03,WKHS,0
2021-02-03,WWE,0
2021-02-04,AMC,203
2021-02-04,BB,85
2021-02-04,CLF,0
2021-02-04,CLNE,0
2021-02-04,CLOV,4
2021-02-04,FORD,32
2021-02-04,GME,544
2021-02-04,PLTR,1
2021-02-04,RKT,2
2021-02-04,SENS,24
2021-02-04,WKHS,0
2021-02-04,WWE,1
2021-02-05,AMC,317
2021-02-05,BB,109
2021-02-05,CLF,1
2021-02-05,CLNE,0
2021-02-05,CLOV,11
2021-02-05,FORD,105
2021-02-05,GME,947
2021-02-05,PLTR,9
2021-02-05,RKT,0
2021-02-05,SENS,47
2021-02-05,WKHS,3
2021-02-05,WWE,1
2021-02-08,AMC,380
2021-02-08,BB,192
2021-02-08,CLF,1
2021-02-08,CLNE,0
2021-02-08,CLOV,16
2021-02-08,FORD,82
2021-02-08,GME,1256
2021-02-08,PLTR,20
2021-02-08,RKT,4
2021-02-08,SENS,74
2021-02-08,WKHS,4
2021-02-08,WWE,1
2021-02-09,AMC,16
2021-02-09,BB,19
2021-02-09,CLF,0
2021-02-09,CLNE,2
2021-02-09,CLOV,0
2021-02-09,FORD,4
2021-02-09,GME,60
2021-02-09,PLTR,1
2021-02-09,RKT,1
2021-02-09,SENS,11
2021-02-09,WKHS,1
2021-02-09,WWE,0
2021-02-10,AMC,24
2021-02-10,BB,26
2021-02-10,CLF,0
2021-02-10,CLNE,0
2021-02-10,CLOV,1
2021-02-10,FORD,15
2021-02-10,GME,87
2021-02-10,PLTR,3
2021-02-10,RKT,0
2021-02-10,SENS,10
2021-02-10,WKHS,1
2021-02-10,WWE,0
2021-02-11,AMC,12
2021-02-11,BB,27
2021-02-11,CLF,1
2021-02-11,CLNE,1
2021-02-11,CLOV,0
2021-02-11,FORD,9
2021-02-11,GME,41
2021-02-11,PLTR,4
2021-02-11,RKT,0
2021-02-11,SENS,10
2021-02-11,WKHS,2
2021-02-11,WWE,0
2021-02-12,AMC,10
2021-02-12,BB,24
2021-02-12,CLF,1
2021-02-12,CLNE,1
2021-02-12,CLOV,0
2021-02-12,FORD,5
2021-02-12,GME,31
2021-02-12,PLTR,4
2021-02-12,RKT,4
2021-02-12,SENS,16
2021-02-12,WKHS,0
2021-02-12,WWE,0
2021-02-15,AMC,15
2021-02-15,BB,48
2021-02-15,CLF,0
2021-02-15,CLNE,0
2021-02-15,CLOV,0
2021-02-15,FORD,15
2021-02-15,GME,88
2021-02-15,PLTR,14
2021-02-15,RKT,4
2021-02-15,SENS,24
2021-02-15,WKHS,3
2021-02-15,WWE,1
2021-02-16,AMC,10
2021-02-16,BB,33
2021-02-16,CLF,0
2021-02-16,CLNE,0
2021-02-16,CLOV,1
2021-02-16,FORD,12
2021-02-16,GME,31
2021-02-16,PLTR,18
2021-02-16,RKT,2
2021-02-16,SENS,18
2021-02-16,WKHS,0
2021-02-16,WWE,0
2021-02-17,AMC,8
2021-02-17,BB,14
2021-02-17,CLF,0
2021-02-17,CLNE,1
2021-02-17,CLOV,0
2021-02-17,FORD,6
2021-02-17,GME,22
2021-02-17,PLTR,25
2021-02-17,RKT,0
2021-02-17,SENS,13
2021-02-17,WKHS,0
2021-02-17,WWE,0
2021-02-18,AMC,11
2021-02-18,BB,21
2021-02-18,CLF,0
2021-02-18,CLNE,0
2021-02-18,CLOV,0
2021-02-18,FORD,7
2021-02-18,GME,43
2021-02-18,PLTR,18
2021-02-18,RKT,3
2021-02-18,SENS,11
2021-02-18,WKHS,2
2021-02-18,WWE,0
2021-02-19,AMC,11
2021-02-19,BB,17
2021-02-19,CLF,0
2021-02-19,CLNE,0
2021-02-19,CLOV,0
2021-02-19,FORD,4
2021-02-19,GME,56
2021-02-19,PLTR,39
2021-02-19,RKT,1
2021-02-19,SENS,5
2021-02-19,WKHS,2
2021-02-19,WWE,0
2021-02-22,AMC,28
2021-02-22,BB,57
2021-02-22,CLF,2
2021-02-22,CLNE,0
2021-02-22,CLOV,0
2021-02-22,FORD,9
2021-02-22,GME,106
2021-02-22,PLTR,53
2021-02-22,RKT,13
2021-02-22,SENS,16
2021-02-22,WKHS,0
2021-02-22,WWE,0
2021-02-23,AMC,20
2021-02-23,BB,27
2021-02-23,CLF,0
2021-02-23,CLNE,0
2021-02-23,CLOV,0
2021-02-23,FORD,8
2021-02-23,GME,50
2021-02-23,PLTR,13
2021-02-23,RKT,5
2021-02-23,SENS,10
2021-02-23,WKHS,0
2021-02-23,WWE,0
2021-02-24,AMC,12
2021-02-24,BB,16
2021-02-24,CLF,0
2021-02-24,CLNE,0
2021-02-24,CLOV,0
2021-02-24,FORD,5
2021-02-24,GME,31
2021-02-24,PLTR,13
2021-02-24,RKT,3
2021-02-24,SENS,10
2021-02-24,WKHS,8
2021-02-24,WWE,0
2021-02-25,AMC,29
2021-02-25,BB,24
2021-02-25,CLF,0
2021-02-25,CLNE,0
2021-02-25,CLOV,0
2021-02-25,FORD,8
2021-02-25,GME,62
2021-02-25,PLTR,10
2021-02-25,RKT,1
2021-02-25,SENS,9
2021-02-25,WKHS,2
2021-02-25,WWE,0
2021-02-26,AMC,35
2021-02-26,BB,27
2021-02-26,CLF,1
2021-02-26,CLNE,0
2021-02-26,CLOV,0
2021-02-26,FORD,13
2021-02-26,GME,168
2021-02-26,PLTR,16
2021-02-26,RKT,12
2021-02-26,SENS,9
2021-02-26,WKHS,5
2021-02-26,WWE,0
2021-03-01,AMC,42
2021-03-01,BB,39
2021-03-01,CLF,1
2021-03-01,CLNE,1
2021-03-01,CLOV,1
2021-03-01,FORD,14
2021-03-01,GME,177
2021-03-01,PLTR,17
2021-03-01,RKT,20
2021-03-01,SENS,31
2021-03-01,WKHS,1
2021-03-01,WWE,0
2021-03-02,AMC,25
2021-03-02,BB,18
2021-03-02,CLF,0
2021-03-02,CLNE,0
2021-03-02,CLOV,0
2021-03-02,FORD,7
2021-03-02,GME,85
2021-03-02,PLTR,9
2021-03-02,RKT,45
2021-03-02,SENS,9
2021-03-02,WKHS,3
2021-03-02,WWE,0
2021-03-03,AMC,23
2021-03-03,BB,25
2021-03-03,CLF,0
2021-03-03,CLNE,0
2021-03-03,CLOV,1
2021-03-03,FORD,10
2021-03-03,GME,130
2021-03-03,PLTR,16
2021-03-03,RKT,209
2021-03-03,SENS,16
2021-03-03,WKHS,0
2021-03-03,WWE,0
2021-03-04,AMC,26
2021-03-04,BB,34
2021-03-04,CLF,0
2021-03-04,CLNE,0
2021-03-04,CLOV,1
2021-03-04,FORD,11
2021-03-04,GME,114
2021-03-04,PLTR,19
2021-03-04,RKT,79
2021-03-04,SENS,13
2021-03-04,WKHS,2
2021-03-04,WWE,0
2021-03-05,AMC,25
2021-03-05,BB,33
2021-03-05,CLF,0
2021-03-05,CLNE,0
2021-03-05,CLOV,0
2021-03-05,FORD,8
2021-03-05,GME,95
2021-03-05,PLTR,16
2021-03-05,RKT,41
2021-03-05,SENS,15
2021-03-05,WKHS,1
2021-03-05,WWE,0
2021-03-08,AMC,38
2021-03-08,BB,64
2021-03-08,CLF,1
2021-03-08,CLNE,1
2021-03-08,CLOV,2
2021-03-08,FORD,9
2021-03-08,GME,171
2021-03-08,PLTR,28
2021-03-08,RKT,24
2021-03-08,SENS,30
2021-03-08,WKHS,1
2021-03-08,WWE,0
2021-03-09,AMC,10
2021-03-09,BB,22
2021-03-09,CLF,0
2021-03-09,CLNE,0
2021-03-09,CLOV,0
2021-03-09,FORD,5
2021-03-09,GME,85
2021-03-09,PLTR,8
2021-03-09,RKT,11
2021-03-09,SENS,4
2021-03-09,WKHS,2
2021-03-09,WWE,0
2021-03-10,AMC,31
2021-03-10,BB,23
2021-03-10,CLF,0
2021-03-10,CLNE,0
2021-03-10,CLOV,0
2021-03-10,FORD,9
2021-03-10,GME,161
2021-03-10,PLTR,9
2021-03-10,RKT,10
2021-03-10,SENS,8
2021-03-10,WKHS,0
2021-03-10,WWE,0
2021-03-11,AMC,52
2021-03-11,BB,27
2021-03-11,CLF,0
2021-03-11,CLNE,0
2021-03-11,CLOV,0
2021-03-11,FORD,5
2021-03-11,GME,166
2021-03-11,PLTR,4
2021-03-11,RKT,4
2021-03-11,SENS,9
2021-03-11,WKHS,0
2021-03-11,WWE,0
2021-03-12,AMC,16
2021-03-12,BB,12
2021-03-12,CLF,0
2021-03-12,CLNE,0
2021-03-12,CLOV,0
2021-03-12,FORD,10
2021-03-12,GME,87
2021-03-12,PLTR,5
2021-03-12,RKT,4
2021-03-12,SENS,4
2021-03-12,WKHS,1
2021-03-12,WWE,1
2021-03-15,AMC,24
2021-03-15,BB,38
2021-03-15,CLF,1
2021-03-15,CLNE,1
2021-03-15,CLOV,2
2021-03-15,FORD,13
2021-03-15,GME,133
2021-03-15,PLTR,9
2021-03-15,RKT,13
2021-03-15,SENS,25
2021-03-15,WKHS,2
2021-03-15,WWE,0
2021-03-16,AMC,36
2021-03-16,BB,19
2021-03-16,CLF,0
2021-03-16,CLNE,0
2021-03-16,CLOV,0
2021-03-16,FORD,10
2021-03-16,GME,70
2021-03-16,PLTR,2
2021-03-16,RKT,6
2021-03-16,SENS,9
2021-03-16,WKHS,0
2021-03-16,WWE,0
2021-03-17,AMC,20
2021-03-17,BB,17
2021-03-17,CLF,1
2021-03-17,CLNE,0
2021-03-17,CLOV,0
2021-03-17,FORD,4
2021-03-17,GME,73
2021-03-17,PLTR,6
2021-03-17,RKT,6
2021-03-17,SENS,8
2021-03-17,WKHS,0
2021-03-17,WWE,0
2021-03-18,AMC,13
2021-03-18,BB,18
2021-03-18,CLF,0
2021-03-18,CLNE,0
2021-03-18,CLOV,1
2021-03-18,FORD,8
2021-03-18,GME,46
2021-03-18,PLTR,10
2021-03-18,RKT,15
2021-03-18,SENS,9
2021-03-18,WKHS,0
2021-03-18,WWE,0
2021-03-19,AMC,6
2021-03-19,BB,15
2021-03-19,CLF,1
2021-03-19,CLNE,0
2021-03-19,CLOV,1
2021-03-19,FORD,1
2021-03-19,GME,46
2021-03-19,PLTR,3
2021-03-19,RKT,10
2021-03-19,SENS,7
2021-03-19,WKHS,0
2021-03-19,WWE,0
2021-03-22,AMC,14
2021-03-22,BB,26
2021-03-22,CLF,0
2021-03-22,CLNE,0
2021-03-22,CLOV,0
2021-03-22,FORD,13
2021-03-22,GME,60
